column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
840,United States of America,1974,15-19,15,5,10678.643,10291.546,20970.189
826,United Kingdom,1973,15-19,15,5,1982.999,1887.337,3870.336
840,United States of America,1973,15-19,15,5,10538.256,10150.618,20688.874
826,United Kingdom,1972,15-19,15,5,1949.897,1855.086,3804.983
840,United States of America,1972,15-19,15,5,10365.156,9971.617,20336.773
826,United Kingdom,1971,15-19,15,5,1934.271,1842.995,3777.266
840,United States of America,1971,15-19,15,5,10156.484,9772.263,19928.747
826,United Kingdom,1970,15-19,15,5,1939.471,1853.811,3793.282
840,United States of America,1970,15-19,15,5,9896.528,9565.128,19461.656
826,United Kingdom,1969,15-19,15,5,1968.504,1889.98,3858.484
840,United States of America,1969,15-19,15,5,9627.996,9384.424,19012.42
826,United Kingdom,1968,15-19,15,5,2026.176,1949.892,3976.068
840,United States of America,1968,15-19,15,5,9380.664,9206.915,18587.579
826,United Kingdom,1967,15-19,15,5,2094.552,2015.313,4109.865
840,United States of America,1967,15-19,15,5,9176.07,9016.971,18193.041
826,United Kingdom,1966,15-19,15,5,2143.604,2059.601,4203.205
840,United States of America,1966,15-19,15,5,8998.115,8790.426,17788.541
826,United Kingdom,1965,15-19,15,5,2154.074,2068.929,4223.003
840,United States of America,1965,15-19,15,5,8798.904,8517.4,17316.304
826,United Kingdom,1964,15-19,15,5,2131.147,2054.346,4185.493
840,United States of America,1964,15-19,15,5,8470.919,8221.789,16692.708
826,United Kingdom,1963,15-19,15,5,2067.471,2002.673,4070.144
840,United States of America,1963,15-19,15,5,8093.719,7875.886,15969.605
826,United Kingdom,1962,15-19,15,5,1979.695,1927.918,3907.613
840,United States of America,1962,15-19,15,5,7692.916,7494.836,15187.752
826,United Kingdom,1961,15-19,15,5,1895.564,1855.15,3750.714
840,United States of America,1961,15-19,15,5,7307.052,7113.901,14420.953
826,United Kingdom,1960,15-19,15,5,1830.547,1800.273,3630.82
